,ID,빽다방,이디야,스벅,커피빈,전국대비인구비율,도시인구비율,지수_pk,지수_ed,지수_sb,지수_cb,지수_국내해외,지수_최저가,지수_최고가,지수_고가,지수_해외국내
89,안성,1.0,4.0,2.0,0.0,0.0035422141590970672,79.0,0.001694915254237288,0.0015804030027657052,0.0015290519877675841,0.0,2.1420581400799574,0.5450843506008107,0.0,0.4668407366210296,0.4668407366210296
90,안양,13.0,28.0,13.0,4.0,0.011130134359627845,100.0,0.022033898305084745,0.011062821019359936,0.009938837920489297,0.026143790849673203,0.9172480069360431,0.46736001890858064,0.6074927925500668,0.16777097110199374,1.0902176864252668
91,양산,1.0,16.0,7.0,0.0,0.006727098427453264,98.82,0.001694915254237288,0.006321612011062821,0.005351681957186544,0.0,1.4979453804303633,0.14519597114981878,0.0,0.6675810834389019,0.6675810834389019
92,양평,1.0,5.0,1.0,0.0,0.0022400892956186387,69.62,0.001694915254237288,0.0019755037534571317,0.0007645259938837921,0.0,4.800908062064301,0.6185754938909431,0.0,0.20829392837196273,0.20829392837196273
93,여수,3.0,11.0,5.0,0.0,0.005466362009119775,87.4,0.005084745762711864,0.00434610825760569,0.00382262996941896,0.0,2.4671114117150723,0.6224640356193556,0.0,0.40533232315796625,0.40533232315796625
94,영덕,1.0,2.0,0.0,0.0,0.0007353057657731606,49.06,0.001694915254237288,0.0007902015013828526,0.0,0.0,inf,2.1449152542372882,0.0,0.0,0.0
95,영주,1.0,4.0,0.0,0.0,0.0020607586619696477,79.13,0.001694915254237288,0.0015804030027657052,0.0,0.0,inf,1.0724576271186441,0.0,0.0,0.0
96,예천,1.0,2.0,0.0,0.0,0.0010279384739634552,51.33,0.001694915254237288,0.0007902015013828526,0.0,0.0,inf,2.1449152542372882,0.0,0.0,0.0
97,오산,3.0,7.0,3.0,0.0,0.0042463194046840425,100.0,0.005084745762711864,0.002765705254839984,0.0022935779816513763,0.0,3.422796643652606,1.0050328327216094,0.0,0.2921587532389477,0.2921587532389477
98,용인,15.0,52.0,24.0,2.0,0.01997307956601524,97.0,0.025423728813559324,0.020545239035954167,0.01834862385321101,0.013071895424836602,1.463023810737283,0.4892400234003531,0.20323981478123154,0.3107783801864301,0.6835158749029897
99,울산 남구,5.0,27.0,13.0,2.0,0.006381577267914583,100.0,0.00847457627118644,0.01066772026866851,0.009938837920489297,0.013071895424836602,0.8318855489124716,0.2516319890550141,0.4494974376828993,0.3085235827545445,1.2020884378954597
100,울산 동구,2.0,8.0,2.0,0.0,0.003176818827763848,100.0,0.003389830508474576,0.0031608060055314103,0.0015290519877675841,0.0,4.284116280159915,0.7228002454057382,0.0,0.2334203683105148,0.2334203683105148
101,울산 북구,1.0,18.0,4.0,0.0,0.003983208524499229,100.0,0.001694915254237288,0.007111813512445673,0.0030581039755351682,0.0,2.8798003067053286,0.16665968590604566,0.0,0.34724629956861924,0.34724629956861924
102,울산 울주,1.0,11.0,1.0,0.0,0.0042805106982956205,99.04,0.001694915254237288,0.00434610825760569,0.0007645259938837921,0.0,7.901658753490615,0.33164479609224806,0.0,0.12655570573181774,0.12655570573181774
103,울산 중구,2.0,15.0,5.0,0.0,0.004475991508441728,100.0,0.003389830508474576,0.005926511260371394,0.00382262996941896,0.0,2.437155006730106,0.3477055495017658,0.0,0.4103144844043732,0.4103144844043732
104,울진,1.0,2.0,0.0,0.0,0.0009654602523413943,72.7,0.001694915254237288,0.0007902015013828526,0.0,0.0,inf,2.1449152542372882,0.0,0.0,0.0
105,원주,5.0,17.0,6.0,1.0,0.006638938144997674,89.59,0.00847457627118644,0.006716712761754247,0.0045871559633027525,0.006535947712418301,1.3657419256191474,0.47503719003432565,0.3304581181007752,0.21112468267657572,0.7322027545919106
106,의왕,2.0,6.0,1.0,0.0,0.0029701660317254684,100.0,0.003389830508474576,0.002370604504148558,0.0007645259938837921,0.0,7.53464899651106,1.0812406407331623,0.0,0.13272018384174933,0.13272018384174933
107,의정부,4.0,34.0,10.0,0.0,0.008625506330705177,100.0,0.006779661016949152,0.013433425523508494,0.00764525993883792,0.0,2.64387171949186,0.32163585480982176,0.0,0.378233176983411,0.378233176983411
108,이천,1.0,10.0,5.0,1.0,0.0041331716926421135,68.47,0.001694915254237288,0.0039510075069142635,0.00382262996941896,0.006535947712418301,0.5450480688146132,0.11844614863955852,0.6902794860418429,0.3137966355587717,1.834700565355327
109,익산,3.0,11.0,3.0,0.0,0.005674018161404092,85.0,0.005084745762711864,0.00434610825760569,0.0022935779816513763,0.0,4.111852352858453,0.7658111512330756,0.0,0.2431993938947798,0.2431993938947798
110,인천 강화,1.0,1.0,0.0,0.0,0.0013293698446181293,33.57,0.001694915254237288,0.0003951007506914263,0.0,0.0,inf,4.2898305084745765,0.0,0.0,0.0
111,인천 계양,3.0,20.0,2.0,0.0,0.006033258288074731,100.0,0.005084745762711864,0.007902015013828527,0.0015290519877675841,0.0,8.493341547857415,0.5391485143569994,0.0,0.11773928957940781,0.11773928957940781
112,인천 남구,5.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0,inf,inf,0.0,0.0,0.0
113,인천 남동,18.0,32.0,9.0,1.0,0.010364689315851702,100.0,0.030508474576271188,0.012643224022125641,0.006880733944954129,0.006535947712418301,3.2162720783260954,1.1707054872525078,0.13063421824943616,0.13847977225390232,0.3109189694301139
114,인천 부평,2.0,34.0,9.0,1.0,0.010123092709017293,100.0,0.003389830508474576,0.013433425523508494,0.006880733944954129,0.006535947712418301,1.253905880873214,0.12625016673633105,0.27573196406079536,0.29456200734595983,0.7975080229335911
115,인천 서구,5.0,34.0,6.0,0.0,0.010392378089177107,100.0,0.00847457627118644,0.013433425523508494,0.0045871559633027525,0.0,4.775944391243495,0.4702720762584018,0.0,0.2093826724267268,0.2093826724267268
