,시도명,시군구명,상호명,지점명,경도,위도,도로명주소,ID,빽다방 매장수,브랜드명
418,강원도,강릉시,빽다방강릉교동중앙점,강릉교동중앙점,128.8781983,37.76668451,강원도 강릉시 솔올로 51,강릉,1,빽다방
419,경기도,수원시,빽다방수원역점,수원역점,127.0022347,37.26789337,경기도 수원시,수원,1,빽다방
420,경기도,군포시,빽다방,-,126.9448565,37.34628521,경기도 군포시 고산로 248,군포,1,빽다방
421,경기도,용인시,빽다방 용인기흥구청점,용인기흥구청점,127.1124821,37.2811252,경기도 용인시,용인,1,빽다방
422,강원도,홍천군,빽다방,홍천중앙점,127.8846791,37.69156268,강원도 홍천군 홍천읍 꽃뫼로 99,홍천,1,빽다방
423,경기도,용인시,빽다방,흥덕이마트점,127.0715777,37.2759005,경기도 용인시,용인,1,빽다방
424,경기도,성남시,빽다방,미금역천사점,127.1082995,37.35075687,경기도 성남시,성남,1,빽다방
425,경기도,화성시,빽다방,화성향남중앙점,126.9225595,37.13057151,경기도 화성시 향남읍 행정중앙2로 63-34,화성,1,빽다방
426,강원도,원주시,빽다방,-,127.9481085,37.35009624,강원도 원주시 원일로 115,원주,1,빽다방
427,충청북도,청주시,빽다방,청주터미널점,127.4335383,36.62579075,충청북도 청주시,청주,1,빽다방
428,경기도,성남시,빽다방,분당정자엠코점,127.1063369,37.36301479,경기도 성남시,성남,1,빽다방
429,경기도,의왕시,빽다방,의왕포일프라자점,126.9852754,37.39641398,경기도 의왕시 봇들로 40,의왕,1,빽다방
430,경기도,의정부시,빽다방,의정민락위드점,127.0976514,37.74540015,경기도 의정부시 오목로205번길 22,의정부,1,빽다방
431,경기도,용인시,빽다방,동백쥬네브점,127.153662,37.27737185,경기도 용인시,용인,1,빽다방
432,경기도,화성시,빽다방,동탄솔빛나루점,127.0725127,37.19317806,경기도 화성시 동탄중앙로 76,화성,1,빽다방
433,경기도,군포시,빽다방,군포당정삼거리점,126.9553841,37.3481087,경기도 군포시 고산로151번길 7,군포,1,빽다방
434,경기도,성남시,빽다방,성남을지대점,127.1643276,37.45871861,경기도 성남시,성남,1,빽다방
